GAME_ID,HOME_TEAM,HOME_WIN_PCT,HOME_AVG_PTS,HOME_RECENT_WIN_PCT_5,HOME_HOME_WIN_PCT,HOME_AWAY_WIN_PCT,HOME_AVG_FG_PCT,HOME_AVG_FG3_PCT,HOME_AVG_FT_PCT,TARGET,AWAY_TEAM,AWAY_WIN_PCT,AWAY_AVG_PTS,AWAY_RECENT_WIN_PCT_5,AWAY_HOME_WIN_PCT,AWAY_AWAY_WIN_PCT,AWAY_AVG_FG_PCT,AWAY_AVG_FG3_PCT,AWAY_AVG_FT_PCT,WIN_PCT_DIFF,AVG_PTS_DIFF
21500009,TOR,1.0,99.0,1.0,1.0,0.0,0.40449999999999997,0.34650000000000003,0.778,1,TOR,0.3333333333333333,97.0,0.3333333333333333,0.0,0.0,0.3953333333333333,0.33866666666666667,0.7719999999999999,0.6666666666666667,2.0
21500010,HOU,0.0,85.5,0.0,0.0,0.0,0.3655,0.2685,0.677,0,HOU,0.5,91.5,0.5,0.0,0.5,0.4345,0.4205,0.623,-0.5,-6.0
21500016,SAC,0.0,104.0,0.0,0.0,0.0,0.436,0.458,0.611,0,SAC,1.0,118.66666666666667,1.0,0.0,1.0,0.5346666666666667,0.42133333333333334,0.7066666666666667,-1.0,-14.666666666666671
21500020,LAC,1.0,115.0,1.0,1.0,0.0,0.51025,0.3805,0.6815,1,LAC,0.25,97.0,0.25,0.0,0.3333333333333333,0.40425,0.274,0.769,0.75,18.0
21500018,IND,0.25,98.5,0.25,0.5,0.0,0.415,0.354,0.756,0,IND,0.5,86.5,0.5,0.0,0.6666666666666666,0.37725,0.26649999999999996,0.7335,-0.25,12.0
21500019,NYK,0.3333333333333333,102.66666666666667,0.3333333333333333,0.0,0.0,0.41500000000000004,0.31033333333333335,0.8073333333333332,0,NYK,0.25,93.5,0.25,0.0,0.5,0.437,0.34725,0.74075,0.08333333333333331,9.166666666666671
21500028,SAS,0.5,100.75,0.5,0.6666666666666666,0.0,0.4755,0.3625,0.8125,1,SAS,0.0,93.33333333333333,0.0,0.0,0.0,0.428,0.24233333333333332,0.673,0.5,7.416666666666671
21500032,PHX,0.75,102.0,0.75,0.5,0.0,0.4475,0.33225,0.69825,1,PHX,0.25,103.75,0.25,0.0,0.0,0.4435,0.357,0.7887500000000001,0.5,-1.75
21500027,MIL,0.25,106.0,0.25,0.3333333333333333,0.0,0.45125,0.3545,0.7865,0,MIL,0.5,98.25,0.5,0.0,0.5,0.42975,0.3365,0.7435,-0.25,7.75
21500025,DET,0.8,101.0,0.8,0.75,0.0,0.4164,0.31999999999999995,0.7205999999999999,1,DET,0.6666666666666666,99.66666666666667,0.8,0.0,0.3333333333333333,0.43983333333333335,0.37166666666666665,0.7483333333333334,0.13333333333333341,1.3333333333333286
